_id,ltable_id,rtable_id,ltable_Name,ltable_Sale Price,ltable_Category,ltable_Author,ltable_ISBN10,ltable_Pages,ltable_Publisher,ltable_Language,ltable_Dimensions,ltable_Weight,ltable_Rating,rtable_Name,rtable_Sale Price,rtable_Category,rtable_Author,rtable_ISBN10,rtable_Pages,rtable_Publisher,rtable_Language,rtable_Dimensions,rtable_Weight,rtable_Rating,gold_labels
205,229,379,"Mistborn Trilogy Boxed Set Mistborn, The Hero of Ages, & The Well of Ascension",18.09,Books > Science Fiction & Fantasy > Fantasy,Brandon Sanderson,076536543X,,Tor Fantasy; Box edition ,English,4.2 x 3.7 x 6.9 inches,2.4 pounds,4.6,Mistborn Trilogy,18.09,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 2245 >  > in > Books > # > 160 >  > in > Books > Literature & Fiction > # > 20 >  > in > Books > Literature & Fiction > Fantasy,"Sanderson, Brandon",076536543X,0.0,Tor Books,English,7.25 x 4.50 x 4.00 Inches,,4.75,1
209,236,4,Ordinary Grace Paperback ,9.01,Books > Literature & Fiction > Genre Fiction,William Kent Krueger,1451645856,336.0,Atria Books; Reprint edition ,English,5.3 x 0.9 x 8.2 inches,9.6 ounces,4.6,ORDINARY GRACE,9.01,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 8601 >  > in > Books > # > 782 >  > in > Books > Literature & Fiction > # > 53 >  > in > Books > Literature & Fiction > Literary",William Kent Krueger,1645855,336.0,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),,5.0,1
216,248,2333,Grey,9.59,Books > Literature & Fiction > Women's Fiction,E L James,1101946342,576.0,Vintage ,English,5.2 x 0.9 x 8 inches,2 pounds,4.3,Grey,9.59,Books > Literature & Fiction > Fiction > Romance > Contemporary > Best seller ranking: > # > 44 >  > in > Books > # > 2 >  > in > Books > Romance > # > 2 >  > in > Books > Romance > Adult,"JAMES, E.L.",1946346,576.0,Random House Inc,English,8.00 x 5.25 x 1.00 Inches,,4.9091,1
219,256,806,Paper Girls Volume 1 Paperback ,9.99,Books > Comics & Graphic Novels > Graphic Novels,Brian K Vaughan Cliff Chiang,1632156741,144.0,Image Comics ,English,6.6 x 0.4 x 10.1 inches,11.2 ounces,4.3,"Paper Girls, Volume 1",9.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Brian K. Vaughan,2156743,144.0,Image Comics,English,10.00 x 6.50 x 0.25 Inches,,,1
222,257,2038,"The Wheel of Time, Boxed Set II, Books 4-6",16.32,Books > Science Fiction & Fantasy > Fantasy,Robert Jordan,812540115,,Tor Books; 1 edition ,English,4.2 x 4.9 x 6.9 inches,3.1 pounds,4.7,WHEEL OF TIME 2 BOX SETBOX SET #22,14.27,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 7059 >  > in > Books > # > 628 >  > in > Books > Literature & Fiction > # > 54 >  > in > Books > Literature & Fiction > Fantasy,Robert Jordan,2540112,0.0,Tom Doherty AssociatesTor Books,English,175.26 x 107.95 x 124.46 Millimeters,,5.0,0
228,268,1707,The Lost World,7.99,Books > Literature & Fiction > Action & Adventure,Michael Crichton,345538994,432.0,Ballantine Books; Reprint edition ,English,4.2 x 1.1 x 7.5 inches,9.6 ounces,4.5,The Lost World,7.99,Books > Literature & Fiction > Fiction > Action & Adventure > Best seller ranking: > # > 3212 >  > in > Books > # > 17 >  > in > Books > Mystery & Suspense > # > 2 >  > in > Books > Mystery & Suspense > Suspense,"Crichton, Michael",5538991,416.0,Random House,English,7.75 x 4.50 x 1.00 Inches,,4.0,1
235,271,330,The Woman in the Water,19.99,"Books > Mystery, Thriller & Suspense > Mystery",Charles Finch,1250139465,,Minotaur Books ,English,6.3 x 1.2 x 9.4 inches,1 pounds,4.7,The Woman in the Water,19.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Traditional",Charles Finch,1250139465,320.0,St. Martin's PressMinotaur Books,English,9.25 x 155.57 x 1.25 Inches (US),,,1
237,278,196,Outlander Mass Market Paperback ,8.98,"Books > Crafts, Hobbies & Home > Crafts & Hobbies",Diana Gabaldon,440212561,850.0,Dell; Reissue edition ,English,4.2 x 1.5 x 6.9 inches,11.2 ounces,4.6,Dragonfly in Amber (Outlander Volume 2) (Mass Market Paperback),7.99,Books > Literature & Fiction > Fiction > Romance > Historical > Best seller ranking: > # > 975 >  > in > Books > # > 19 >  > in > Books > Romance > # > 9 >  > in > Books > Romance > Contemporary,Diana Gabaldon,215623,960.0,Bantam Dell,English,7.00 x 4.25 x 1.50 Inches,,4.2857,0
245,280,2156,The Five People You Meet in Heaven Paperback ,8.88,Books > Literature & Fiction > Genre Fiction,Mitch Albom,1401308589,196.0,Hachette Books; Reprint edition ,English,5.1 x 0.5 x 7.1 inches,11.2 ounces,4.6,The Five People You Meet in Heaven,8.88,Books > Literature & Fiction > Fiction > Visionary & Metaphysical > Best seller ranking: > # > 2651 >  > in > Books > # > 18 >  > in > Books > Miscellaneous,Mitch Albom,1308582,208.0,Hachette Books,English,,,4.5,1
251,284,2039,A Game of Thrones,22.66,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,553808044,,"Bantam; Anniversary, Illustrated edition ",English,6.5 x 2.7 x 9.4 inches,3 pounds,4.6,A Game of Thrones,33.07,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Martin, George R. R.",307913090,,Random House,English,6.00 x 5.25 x 2.50 Inches,,5.0,1
260,295,1735,What She Knew,10.97,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Gilly Macmillan,62413864,512.0,William Morrow Paperbacks ,English,5.3 x 0.8 x 8 inches,12.8 ounces,4.2,What She Knew,9.97,Books > Literature & Fiction > Fiction > Psychological,"Macmillan, Gilly",2413862,472.0,HarperCollins,English,8.00 x 5.50 x 1.25 Inches,,,1
262,298,679,The Fast and the Furriest Second Chance Cat Mystery,6.15,"Books > Mystery, Thriller & Suspense > Mystery",Sofie Ryan,1101991224,304.0,Berkley ,English,4.2 x 0.8 x 6.8 inches,5.3 ounces,4.8,The Fast and the Furriest,6.15,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Sofie Ryan,1101991224,304.0,BerkleyPenguin Publishing Group,English,,,,1
265,301,1261,The Good Girl,10.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Mary Kubica,778317765,384.0,MIRA; Reprint edition ,English,5.4 x 1 x 8.2 inches,11.4 ounces,4.2,The Good Girl,10.26,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 7289 >  > in > Books > # > 656 >  > in > Books > Literature & Fiction > # > 100 >  > in > Books > Literature & Fiction > Mystery & Suspense","Kubica, Mary",8317766,382.0,Harlequin Books,English,8.75 x 5.75 x 1.00 Inches,,5.0,1
273,313,1567,Golden Son,13.59,Books > Literature & Fiction > Action & Adventure,Pierce Brown,345539834,464.0,Del Rey; Reprint edition ,English,5.5 x 1 x 8.2 inches,12 ounces,4.7,Golden Son,15.89,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Brown, Pierce",5539817,442.0,Random House Inc,English,9.50 x 6.50 x 1.50 Inches,,,1
274,313,2036,Golden Son,13.59,Books > Literature & Fiction > Action & Adventure,Pierce Brown,345539834,464.0,Del Rey; Reprint edition ,English,5.5 x 1 x 8.2 inches,12 ounces,4.7,Golden Son,13.54,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Brown, Pierce",5539838,444.0,Random House Inc,English,8.50 x 5.50 x 1.00 Inches,,,1
275,314,2031,Uprooted,11.13,Books > Science Fiction & Fantasy > Fantasy,Naomi Novik,804179050,464.0,Del Rey; Reprint edition ,English,5.6 x 1 x 8.3 inches,12.6 ounces,4.6,Uprooted,11.13,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Novik, Naomi",4179055,456.0,Random House Inc,,5.50 x 8.25 x 1.00 Inches,,5.0,1
279,320,22,Wicked,6.34,Books > Science Fiction & Fantasy > Fantasy,Gregory Maguire,61350966,560.0,Harper; Mass Paperback Edition edition ,English,4.2 x 1.1 x 6.8 inches,8.8 ounces,3.8,Wicked,6.11,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General > Best seller ranking: > # > 2598 >  > in > Books > # > 199 >  > in > Books > Literature & Fiction > # > 33 >  > in > Books > Literature & Fiction > General,"Maguire, Gregory",1350964,538.0,HarperCollins,English,7.00 x 4.00 x 1.25 Inches,,4.6,1
288,336,251,Y is for Yesterday A Kinsey Millhone Novel,15.89,"Books > Mystery, Thriller & Suspense > Mystery",Sue Grafton,399163859,,Marian Wood Books/Putnam; 1st Edition edition ,English,6.4 x 1.5 x 9.3 inches,1.6 pounds,4.2,Y is for Yesterday,15.89,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",Sue Grafton,399163859,496.0,Marian Wood Books/PutnamPenguin Publishing Group,English,9.32 x 6.25 x 1.50 Inches (US),,,1
290,339,1299,The Way of Kings Mass Market Paperback ,9.99,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,765365278,1280.0,Tor Fantasy; Reprint edition ,English,4.2 x 2 x 6.9 inches,1.2 pounds,4.7,"WAY OF KINGS, THE",9.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 7159 >  > in > Books > # > 644 >  > in > Books > Literature & Fiction > # > 57 >  > in > Books > Literature & Fiction > Fantasy,Brandon Sanderson,5365272,1280.0,Tom Doherty AssociatesTor Fantasy,English,173.74 x 4.39 x 2.03 Millimeters,,,1
293,343,1351,Dark Matter,12.82,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Blake Crouch,1101904240,368.0,Broadway Books; Reprint edition ,English,5.2 x 0.8 x 8 inches,10.4 ounces,4.4,Dark Matter,15.0,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Crouch, Blake",1904222,342.0,Random House Inc,English,9.75 x 6.50 x 1.50 Inches,,,1
