_id,ltable_id,rtable_id,ltable_Name,ltable_Author,ltable_ISBN10,rtable_Name,rtable_Author,rtable_ISBN10,gold_labels
1426,123,196,"The Outlandish Companion (Revised and Updated): Companion to Outlander, Dragonfly in Amber, Voyager, and Drums of Autumn Hardcover – March 31, 2015",Diana Gabaldon,1101887273,Dragonfly in Amber (Outlander Volume 2) (Mass Market Paperback),Diana Gabaldon,215623,0
1487,1700,203,"Rule of Two (Star Wars: Darth Bane, Book 2) Mass Market Paperback – October 28, 2008",Drew Karpyshyn,345477499,Darth Bane,"Karpyshyn, Drew",5477494,0
1604,2948,217,"Anna Karenina Paperback – Deckle Edge, May 31, 2004",Leo Tolstoy,143035002,Anna Karenina,Leo Tolstoy,014119961X,0
1793,2181,238,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 2 - light novel (Is It Wrong to Pick Up Girls in a Dungeon?) Paperback – April 21, 2015",Fujino Omori,316340146,Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side Sword Oratoria 1,Fujino Omori,6315332,0
1844,758,252,"Tricky Twenty-Two: A Stephanie Plum Novel Mass Market Paperback – November 8, 2016",Janet Evanovich,345542975,Hardcore Twenty-Four : A Stephanie Plum Novel,"Evanovich, Janet",399179194,0
1852,2289,252,"Three to Get Deadly (Stephanie Plum, No. 3) (Stephanie Plum Novels) Mass Market Paperback – July 15, 1998",Janet Evanovich,312966091,Hardcore Twenty-Four : A Stephanie Plum Novel,"Evanovich, Janet",399179194,0
1856,2726,252,"Notorious Nineteen: A Stephanie Plum Novel Mass Market Paperback – November 19, 2013",Janet Evanovich,345527763,Hardcore Twenty-Four : A Stephanie Plum Novel,"Evanovich, Janet",399179194,0
1923,1168,265,"Beyond Reason (The Texas Trilogy) Mass Market Paperback – May 30, 2017",Kat Martin,1420143158,BEYOND REASON,MARTIN KAT,143156,1
2061,3156,278,"Heir to the Empire (Star Wars: The Thrawn Trilogy, Vol. 1) Mass Market Paperback – May 1, 1992",Timothy Zahn,553296124,Heir to the Empire,"Zahn, Timothy",3296129,1
2172,42,298,"Red Sparrow: A Novel (The Red Sparrow Trilogy) Mass Market Paperback – February 20, 2018",Jason Matthews,1501168916,Red Sparrow,Jason Matthews,1501171577,1
2243,1514,305,"The Lost Plot (The Invisible Library Novel) Paperback – January 9, 2018",Genevieve Cogman,039958742X,The Lost Plot,Genevieve Cogman,039958742X,1
2358,3134,324,"A Trick of the Light (Chief Inspector Gamache, Book 7) (Chief Inspector Gamache Novel) Paperback – July 3, 2012",Louise Penny,1250007348,How the Light Gets in: A Chief Inspector Gamache Novel,Louise Penny,47274,0
2371,2839,328,"My Kind of Forever (The Beaumont Series) (Volume 1) Paperback – August 26, 2015",Heidi McLaughlin,990678849,My Kind of Forever,"McLaughlin, Heidi",990678849,1
2373,342,329,"The Expanse Boxed Set: Leviathan Wakes, Caliban's War and Abaddon's Gate Paperback – November 3, 2015",James S. A. Corey,316311294,Caliban's War,James S. A. Corey,6129069,0
2431,313,332,"Golden Son: Book 2 of the Red Rising Saga (Red Rising Series) Paperback – July 7, 2015",Pierce Brown,345539834,Golden Son,"Brown, Pierce",4139190,1
2454,842,336,"That Hideous Strength (Space Trilogy, Book 3) Paperback – May 13, 2003",C.S. Lewis,743234928,That Hideous Strength: A Modern Fairy-Tale for Grown-Ups,C.S. Lewis,3234921,1
2485,2726,339,"Notorious Nineteen: A Stephanie Plum Novel Mass Market Paperback – November 19, 2013",Janet Evanovich,345527763,Notorious Nineteen,Janet Evanovich,552776X,1
2505,3129,341,"Beren and Lúthien Hardcover – June 1, 2017",J.R.R. Tolkien,1328791823,Beren and Lúthien,J.R.R. Tolkien,8791826,1
2543,619,347,"Fifty Shades Darker Paperback – April 17, 2012",E. L. James,345803493,"Fifty Shades Trilogy: Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed 3-Volume Boxed Set","JAMES, E L",,0
2771,602,372,"Children of Dune (Dune Chronicles, Book Three) Mass Market Paperback – May 15, 1987",Frank Herbert,441104029,God Emperor of Dune,"Herbert, Frank",129467X,0
2781,180,374,"The Color of Magic (Discworld) Mass Market Paperback – January 29, 2013",Terry Pratchett,62225677,The Color of Magic,"Pratchett, Terry",2225675,1
2844,2425,385,"A Walk to Remember Paperback – September 1, 2004",Nicholas Sparks,446693804,WALK TO REMEMBER,Nicholas Sparks,6608954,0
2853,2594,386,"Montana Heat: Tempted by Love Mass Market Paperback – August 28, 2018",Jennifer Ryan,62645293,MONTANA HEAT: TRUE TO YOU,"RYAN, JENNIFER",,0
2870,921,389,"The Drums of Autumn Mass Market Paperback – November 10, 1997",Diana Gabaldon,044022425X,A Breath of Snow and Ashes (Outlander Volume 6) (Mass Market Paperback),Diana Gabaldon,225804,0
2874,1418,389,"Voyager: A Novel (Outlander) Mass Market Paperback – October 1, 1994",Diana Gabaldon,440217563,A Breath of Snow and Ashes (Outlander Volume 6) (Mass Market Paperback),Diana Gabaldon,225804,0
2888,871,390,"The Dragon Reborn (The Wheel of Time, Book 3) Mass Market Paperback – October 15, 1992",Robert Jordan,812513711,The Dragon Reborn,Robert Jordan,1593975317,1
2891,3130,390,"The Wheel of Time, Boxed Set I, Books 1-3: The Eye of the World, The Great Hunt, The Dragon Reborn Mass Market Paperback – Box set, October 27, 2005",Robert Jordan,812538366,The Dragon Reborn,Robert Jordan,1593975317,0
3013,93,408,"The Dark Tower VI: Song of Susannah (The Dark Tower, Book 6) Mass Market Paperback – May 23, 2006",Stephen King,1416521496,The Dark Tower V : The Wolves of the Calla,Stephen King,141651693X,0
3025,557,408,"The Dark Tower 8-Book Boxed Set Paperback – December 6, 2016",Stephen King,1501163566,The Dark Tower V : The Wolves of the Calla,Stephen King,141651693X,0
3035,1396,408,"7: The Dark Tower VII (The Dark Tower, Book 7) Mass Market Paperback – August 22, 2006",Stephen King,1416524525,The Dark Tower V : The Wolves of the Calla,Stephen King,141651693X,0
3381,2803,443,"Hidden Heart: This Magic Moment\Storm Warning Mass Market Paperback – September 26, 2017",Nora Roberts,037328246X,HIDDEN HEART: THIS MAGICMOMENT STORM WARNING,"ROBERTS, NORA",037328246X,1
3533,1609,462,"HALO: Smoke and Shadow Paperback – January 16, 2018",Kelly Gay,1501155407,HALO: SMOKE AND SHADOW,Kelly Gay,1501155407,1
3746,939,492,"Bad Luck and Trouble (Jack Reacher) Mass Market Paperback – May 19, 2009",Lee Child,440246016,Nothing To Lose: (Jack Reacher 12) (Audio CD),"Child, Lee, Shale, Kerry",184657109X,0
3801,758,505,"Tricky Twenty-Two: A Stephanie Plum Novel Mass Market Paperback – November 8, 2016",Janet Evanovich,345542975,Takedown Twenty (Stephanie Plum 20) (Paperback),"Evanovich, Janet",1472201590,0
3811,2430,505,"Explosive Eighteen (Stephanie Plum) Mass Market Paperback – May 15, 2012",Janet Evanovich,345527739,Takedown Twenty (Stephanie Plum 20) (Paperback),"Evanovich, Janet",1472201590,0
3853,406,519,"Morning Star: Book 3 of the Red Rising Saga (Red Rising Series) Paperback – September 27, 2016",Pierce Brown,345539869,Red Rising,"Brown, Pierce",034553980X,0
3927,1053,527,"The Magicians Trilogy Boxed Set: The Magicians; The Magician King; The Magician's Land Hardcover – August 5, 2014",Lev Grossman,525427341,The Magician King : A Novel (TV Tie-In),Lev Grossman,3131431,0
3983,1017,548,"The Bad Daughter: A Novel Hardcover – February 27, 2018",Joy Fielding,399181520,The Bad Daughter,"Fielding, Joy",399181520,1
4037,871,560,"The Dragon Reborn (The Wheel of Time, Book 3) Mass Market Paperback – October 15, 1992",Robert Jordan,812513711,The Dragon Reborn,Robert Jordan,5334354,0
4069,1114,563,"Needful Things: A Novel Mass Market Paperback – May 3, 2016",Stephen King,1501143786,Needful Things : A Novel,Stephen King,1143780,1
4096,1877,565,"One Second After (A John Matherson Novel) Paperback – November 24, 2009",William R. Forstchen,765327252,One Year After,William R. Forstchen,765376725,0
4239,1359,583,"Cross Justice (Alex Cross) Mass Market Paperback – September 27, 2016",James Patterson,1455585130,Cat & Mouse (Alex Cross),James Patterson,6606187,0
4280,1359,585,"Cross Justice (Alex Cross) Mass Market Paperback – September 27, 2016",James Patterson,1455585130,KILL ALEX CROSS,James Patterson,145551019X,0
4312,921,591,"The Drums of Autumn Mass Market Paperback – November 10, 1997",Diana Gabaldon,044022425X,An Echo in the Bone (Outlander Volume 7) (Mass Market Paperback),Diana Gabaldon,245684,0
4323,2850,591,"Diana Gabaldon Outlander Series 8 Book Set (1- 8) Mass Market Paperback – Box set, 1995",Diana Gabaldon,,An Echo in the Bone (Outlander Volume 7) (Mass Market Paperback),Diana Gabaldon,245684,0
4369,868,602,"Wheel of Time, Boxed Set IV: Crossroads of Twilight, Knife of Dreams, Gathering Storm Mass Market Paperback – November 1, 2011",Robert Jordan,765368617,A Memory Of Light: Book 14 of the Wheel of Time (Paperback),"Jordan, Robert, Sanderson, Brandon",035650395X,0
4373,3130,602,"The Wheel of Time, Boxed Set I, Books 1-3: The Eye of the World, The Great Hunt, The Dragon Reborn Mass Market Paperback – Box set, October 27, 2005",Robert Jordan,812538366,A Memory Of Light: Book 14 of the Wheel of Time (Paperback),"Jordan, Robert, Sanderson, Brandon",035650395X,0
4379,542,602,"Shadows of Self: A Mistborn Novel Mass Market Paperback – October 4, 2016",Brandon Sanderson,765378566,A Memory Of Light: Book 14 of the Wheel of Time (Paperback),"Jordan, Robert, Sanderson, Brandon",035650395X,0
4398,758,607,"Tricky Twenty-Two: A Stephanie Plum Novel Mass Market Paperback – November 8, 2016",Janet Evanovich,345542975,Turbo Twenty-Three: A Stephanie Plum Novel,"Evanovich, Janet",5543006,0
4402,1653,607,"Turbo Twenty-Three: A Stephanie Plum Novel Mass Market Paperback – September 5, 2017",Janet Evanovich,345543017,Turbo Twenty-Three: A Stephanie Plum Novel,"Evanovich, Janet",5543006,1
4492,413,625,"Dark Force Rising (Star Wars: The Thrawn Trilogy, Vol. 2) Mass Market Paperback – February 1, 1993",Timothy Zahn,553560719,Dark Force Rising,"Zahn, Timothy",3560716,1
4520,1840,627,"Hope to Die (Alex Cross) Mass Market Paperback – September 29, 2015",James Patterson,1455515833,"Merry Christmas, Alex Cross",James Patterson,5544958,0
4747,285,668,"The Magician's Land: A Novel (Magicians Trilogy) Paperback – June 9, 2015",Lev Grossman,147516145,The Magicians Trilogy Boxed Set : The Magicians; The Magician King; The Magician's Land,Lev Grossman,7517381,0
4749,1053,668,"The Magicians Trilogy Boxed Set: The Magicians; The Magician King; The Magician's Land Hardcover – August 5, 2014",Lev Grossman,525427341,The Magicians Trilogy Boxed Set : The Magicians; The Magician King; The Magician's Land,Lev Grossman,7517381,1
4767,1295,673,"The Hobbit: Illustrated Edition Hardcover – Illustrated, October 1, 2013",J.R.R. Tolkien,544174224,The Hobbit: Deluxe Pocket Edition,J.R.R. Tolkien,4045527,1
4774,103,674,"The Sun Also Rises Paperback – October 17, 2006",Ernest Hemingway,743297334,SUN ALSO RISES,Ernest Hemingway,3297337,1
4781,93,675,"The Dark Tower VI: Song of Susannah (The Dark Tower, Book 6) Mass Market Paperback – May 23, 2006",Stephen King,1416521496,"DARK TOWER I (MTI), THE",Stephen King,1166111,0
4812,1847,675,"The Dark Tower III: The Waste Lands Mass Market Paperback – December 27, 2016",Stephen King,1501161822,"DARK TOWER I (MTI), THE",Stephen King,1166111,0
4844,1110,682,"Dirk Gently's Holistic Detective Agency Paperback – October 7, 2014",Douglas Adams,1476782997,Dirk Gently's Holistic Detective Agency,Douglas Adams,6782998,1
5063,484,707,"Beyond Danger (The Texas Trilogy) Mass Market Paperback – January 30, 2018",Kat Martin,1420143174,BEYOND DANGER,"MARTIN, KAT",1420143174,1
5150,1505,720,"The Ocean at the End of the Lane: A Novel Mass Market Paperback – June 28, 2016",Neil Gaiman,62459368,The Ocean at the End of the Lane,"Gaiman, Neil",2459362,1
5206,289,724,"Life Debt: Aftermath (Star Wars) (Star Wars: The Aftermath Trilogy) Paperback – March 28, 2017",Chuck Wendig,1101966955,LIFE DEBT: AFTERMATH (STAR WARS),"WENDIG, CHUCK",1966933,1
5307,666,750,"The Girl Who Kicked the Hornet's Nest (Millennium Series) Mass Market Paperback – February 21, 2012",Stieg Larsson,307742539,The Girl Who Kicked the Hornet's Nest,"Larsson, Stieg",7742537,1
5332,1359,754,"Cross Justice (Alex Cross) Mass Market Paperback – September 27, 2016",James Patterson,1455585130,The People vs. Alex Cross,James Patterson,1478923326,0
5494,278,782,"Outlander Mass Market Paperback – June 2, 1992",Diana Gabaldon,440212561,The Fiery Cross (Outlander Volume 5) (Mass Market Paperback),Diana Gabaldon,221663,0
5496,854,782,"Dragonfly in Amber: A Novel (Outlander) Mass Market Paperback – November 2, 1993",Diana Gabaldon,440215625,The Fiery Cross (Outlander Volume 5) (Mass Market Paperback),Diana Gabaldon,221663,0
5509,2850,782,"Diana Gabaldon Outlander Series 8 Book Set (1- 8) Mass Market Paperback – Box set, 1995",Diana Gabaldon,,The Fiery Cross (Outlander Volume 5) (Mass Market Paperback),Diana Gabaldon,221663,0
5524,434,785,"The Dark Tower I: The Gunslinger Paperback – May 3, 2016",Stephen King,1501143514,Dark Tower V: Wolves of the Calla,Stephen King,743251628,0
5526,557,785,"The Dark Tower 8-Book Boxed Set Paperback – December 6, 2016",Stephen King,1501163566,Dark Tower V: Wolves of the Calla,Stephen King,743251628,0
5542,1715,785,"The Dark Tower V: The Wolves of the Calla (The Dark Tower, Book 5) Mass Market Paperback – January 24, 2006",Stephen King,141651693X,Dark Tower V: Wolves of the Calla,Stephen King,743251628,1
5545,1847,785,"The Dark Tower III: The Waste Lands Mass Market Paperback – December 27, 2016",Stephen King,1501161822,Dark Tower V: Wolves of the Calla,Stephen King,743251628,0
5560,380,788,"Arcanum Unbounded: The Cosmere Collection Mass Market Paperback – February 27, 2018",Brandon Sanderson,076539118X,Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,5391166,1
5633,289,794,"Life Debt: Aftermath (Star Wars) (Star Wars: The Aftermath Trilogy) Paperback – March 28, 2017",Chuck Wendig,1101966955,EMPIRE'S END: AFTERMATH (STAR WARS),"WENDIG, CHUCK",110196698X,0
5676,329,799,"Without Fail (Jack Reacher) Mass Market Paperback – February 26, 2008",Lee Child,515144312,Without Fail: (Jack Reacher 6) (Audio CD),"Child, Lee, Shale, Kerry",1846572436,0
5679,467,799,"No Middle Name: The Complete Collected Jack Reacher Short Stories Paperback – January 2, 2018",Lee Child,399593594,Without Fail: (Jack Reacher 6) (Audio CD),"Child, Lee, Shale, Kerry",1846572436,0
5681,734,799,"Personal: A Jack Reacher Novel Paperback – April 28, 2015",Lee Child,804178755,Without Fail: (Jack Reacher 6) (Audio CD),"Child, Lee, Shale, Kerry",1846572436,0
5682,910,799,"The Affair (Jack Reacher) Mass Market Paperback – March 27, 2012",Lee Child,9.78E+12,Without Fail: (Jack Reacher 6) (Audio CD),"Child, Lee, Shale, Kerry",1846572436,0
5685,1031,799,"The Hard Way (Jack Reacher) Mass Market Paperback – May 19, 2009",Lee Child,440246008,Without Fail: (Jack Reacher 6) (Audio CD),"Child, Lee, Shale, Kerry",1846572436,0
5689,1194,799,"The Midnight Line: A Jack Reacher Novel Hardcover – November 7, 2017",Lee Child,399593489,Without Fail: (Jack Reacher 6) (Audio CD),"Child, Lee, Shale, Kerry",1846572436,0
5693,1559,799,"Nothing to Lose (Jack Reacher) Mass Market Paperback – March 24, 2009",Lee Child,044024367X,Without Fail: (Jack Reacher 6) (Audio CD),"Child, Lee, Shale, Kerry",1846572436,0
5724,1504,807,"The Demon Crown: A Sigma Force Novel (Sigma Force Novels) Hardcover – December 5, 2017",James Rollins,62381733,The Demon Crown,"Rollins, James",62381733,1
5773,734,814,"Personal: A Jack Reacher Novel Paperback – April 28, 2015",Lee Child,804178755,WORTH DYING FOR: A REACHER NOVEL,"CHILD, LEE",246295,0
5848,927,821,"Alas, Babylon Paperback – July 5, 2005",Pat Frank,60741872,"ALAS, BABYLON",PAT FRANK,741872,1
5921,2070,830,"Dead Beat (The Dresden Files, Book 7) Mass Market Paperback – May 2, 2006",Jim Butcher,045146091X,Dead Beat,Jim Butcher,045146091X,1
5926,509,831,"The Outlandish Companion Volume Two: The Companion to The Fiery Cross, A Breath of Snow and Ashes, An Echo in the Bone, and Written in My Own Heart's Blood (Outlander) Hardcover – October 27, 2015",Diana Gabaldon,385344449,Voyager (Outlander Volume 3) (Mass Market Paperback),Diana Gabaldon,217568,0
5927,854,831,"Dragonfly in Amber: A Novel (Outlander) Mass Market Paperback – November 2, 1993",Diana Gabaldon,440215625,Voyager (Outlander Volume 3) (Mass Market Paperback),Diana Gabaldon,217568,0
5929,921,831,"The Drums of Autumn Mass Market Paperback – November 10, 1997",Diana Gabaldon,044022425X,Voyager (Outlander Volume 3) (Mass Market Paperback),Diana Gabaldon,217568,0
5933,1418,831,"Voyager: A Novel (Outlander) Mass Market Paperback – October 1, 1994",Diana Gabaldon,440217563,Voyager (Outlander Volume 3) (Mass Market Paperback),Diana Gabaldon,217568,0
5966,1046,839,"The Ender Quartet Boxed Set: Ender's Game, Speaker for the Dead, Xenocide, Children of the Mind (The Ender Quintet) Mass Market Paperback – November 4, 2008",Orson Scott Card,765362430,Ender's Game Gift Edition,Orson Scott Card,1250174465,0
6046,1157,854,"The Black Elfstone: The Fall of Shannara Mass Market Paperback – February 27, 2018",Terry Brooks,055339150X,The Heritage of Shannara,"Brooks, Terry",5465541,0
6064,535,860,"Star Wars: Book of Sith Hardcover – April 16, 2013",Daniel Wallace,1452118159,Star Wars Box Set: The Jedi Path and Book of Sith,Daniel Wallace,2126415,0
6068,1449,860,"Star Wars®: Secrets of the Galaxy Deluxe Box Set Hardcover – September 27, 2016",Daniel Wallace,1452159254,Star Wars Box Set: The Jedi Path and Book of Sith,Daniel Wallace,2126415,0
6273,758,892,"Tricky Twenty-Two: A Stephanie Plum Novel Mass Market Paperback – November 8, 2016",Janet Evanovich,345542975,"Twice the Plum: Two Stephanie Plum Between the Numbers Novels (Plum Spooky, Visions of Sugar Plums)",Janet Evanovich,1250165105,0
6322,2038,901,"Crimson Death (Anita Blake, Vampire Hunter) Mass Market Paperback – June 20, 2017",Laurell K. Hamilton,110198774X,"Micah : An Anita Blake, Vampire Hunter Novel","Hamilton, Laurell K.",5140872,0
6469,635,920,"Foundation, Foundation and Empire, Second Foundation Hardcover – November 2, 2010",Isaac Asimov,307593967,Foundation and Empire,"Asimov, Isaac",3293374,0
6485,700,924,"Golden Prey (A Prey Novel) Hardcover – April 25, 2017",John Sandford,399184570,Golden Prey,John Sandford,1524723436,1
6662,2015,952,"Jack & Jill (Alex Cross) Mass Market Paperback – November 1, 1997",James Patterson,446604801,"Alex Cross, Run",James Patterson,6571846,0
6708,201,969,"The Ultimate Hitchhiker's Guide to the Galaxy Paperback – April 30, 2002",Douglas Adams,345453743,HITCHHIKERS GUIDE GAL,"ADAMS, DOUGLAS",5391805,0
6760,3083,982,"The Walking Dead: Compendium Three Paperback – October 13, 2015",Robert Kirkman,1632154560,The Walking Dead Compendium (Volume 3) (Issues #97-144) (Paperback),Robert Kirkman,2154568,0
6854,434,990,"The Dark Tower I: The Gunslinger Paperback – May 3, 2016",Stephen King,1501143514,"DARK TOWER I, THE AC",Stephen King,1508230749,0
6856,557,990,"The Dark Tower 8-Book Boxed Set Paperback – December 6, 2016",Stephen King,1501163566,"DARK TOWER I, THE AC",Stephen King,1508230749,0
6875,1847,990,"The Dark Tower III: The Waste Lands Mass Market Paperback – December 27, 2016",Stephen King,1501161822,"DARK TOWER I, THE AC",Stephen King,1508230749,0
6915,1448,998,"A Storm of Swords (A Song of Ice and Fire, Book 3) Mass Market Paperback – March 4, 2003",George R. R. Martin,055357342X,A Storm of Swords,"Martin, George R. R.",055357342X,1
7015,2094,1012,"Echo Park (A Harry Bosch Novel) Mass Market Paperback – February 24, 2015",Michael Connelly,1455550728,Echo Park,Michael Connelly,5550720,0
7083,1979,1026,"The Walking Dead Volume 30: New World Order Paperback – September 11, 2018",Robert Kirkman,1534308849,The Walking Dead Compendium (Volume 2) (Issues #49-96) (Paperback),Robert Kirkman,7065965,0
7192,3116,1036,"Saga Volume 6 Paperback – July 5, 2016",Brian K Vaughan,163215711X,Saga 5,"Staples, Fiona Vaughan, Brian K.",215438X,0
7249,1314,1050,"The Kitchen House: A Novel Paperback – February 2, 2010",Kathleen Grissom,1439153663,GLORY OVER EVERYTHING: BEYOND THE KITCHEN HOUSE,Kathleen Grissom,6748454,0
7255,834,1051,"A Dance with Dragons (A Song of Ice and Fire) Mass Market Paperback – October 29, 2013",George R. R. Martin,553582011,A Song of Ice and Fire,"Martin, George R. R.",5535566,0
7256,1201,1051,"A Game of Thrones (A Song of Ice and Fire, Book 1) Mass Market Paperback – March 22, 2011",George R. R. Martin,553593714,A Song of Ice and Fire,"Martin, George R. R.",5535566,0
7261,3094,1051,"The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones Hardcover – October 28, 2014",George R. R. Martin Elio Garcia Linda Antonsson,553805444,A Song of Ice and Fire,"Martin, George R. R.",5535566,0
7262,1837,1052,"Death of a Ghost (A Hamish Macbeth Mystery) Mass Market Paperback – February 27, 2018",M. C. Beaton,145555829X,Introducing Agatha Raisin: The Quiche of Death / The Vicious Vet,M. C. Beaton,2544536,0
7342,630,1065,"The Great Hunt (The Wheel of Time, Book 2) Mass Market Paperback – October 15, 1991",Robert Jordan,812517725,The Wheel Of Time (The Eye Of The World/The Great Hunt/The Dragon Reborn),"Jordan, Robert",812538366,0
7349,596,1067,"A Canticle for Leibowitz Mass Market Paperback – June 1, 1984",Walter M. Miller Jr.,553273817,A Canticle for Leibowitz,"Miller, Walter M., Jr.",3273819,1
7353,2038,1070,"Crimson Death (Anita Blake, Vampire Hunter) Mass Market Paperback – June 20, 2017",Laurell K. Hamilton,110198774X,"Blood Noir : An Anita Blake, Vampire Hunter Novel","Hamilton, Laurell K.",5146371,0
7354,2448,1070,"Guilty Pleasures (Anita Blake, Vampire Hunter: Book 1) Mass Market Paperback – September 24, 2002",Laurell K. Hamilton,051513449X,"Blood Noir : An Anita Blake, Vampire Hunter Novel","Hamilton, Laurell K.",5146371,0
7642,1479,1105,"Cross the Line (Alex Cross) Mass Market Paperback – September 26, 2017",James Patterson,1455585327,Four Blind Mice (Alex Cross),James Patterson,6613262,0
7865,1369,1136,"A Darker Shade of Magic: A Novel (Shades of Magic) Paperback – January 19, 2016",V. E. Schwab,765376466,A Darker Shade of Magic,V. E. Schwab,5376457,1
7886,2324,1140,"Two for the Dough (Stephanie Plum Novels) Paperback – June 22, 2010",Janet Evanovich,312675062,TURBO TWENTY-THREE: A STEPHANIE PLUM NOVEL,"EVANOVICH, JANET",345543017,0
7917,1454,1146,"Serpentine (Anita Blake, Vampire Hunter) Hardcover – August 7, 2018",Laurell K. Hamilton,425255689,"The Laughing Corpse : An Anita Blake, Vampire Hunter Novel",Laurell K. Hamilton,513444X,0
7927,257,1149,"The Wheel of Time, Boxed Set II, Books 4-6: The Shadow Rising, The Fires of Heaven, Lord of Chaos Mass Market Paperback – Box set, October 27, 2005",Robert Jordan,812540115,The Shadow Rising,Robert Jordan,5334679,0
8023,619,1160,"Fifty Shades Darker Paperback – April 17, 2012",E. L. James,345803493,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,"JAMES, E L",5803482,0
8024,2574,1160,"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series) Paperback – April 3, 2012",E L James,345803485,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,"JAMES, E L",5803482,1
