_id,ltable_id,rtable_id,ltable_Name,ltable_Sale Price,ltable_Category,ltable_Author,ltable_ISBN10,ltable_Pages,ltable_Publisher,ltable_Language,ltable_Dimensions,ltable_Weight,ltable_Rating,rtable_Name,rtable_Sale Price,rtable_Category,rtable_Author,rtable_ISBN10,rtable_Pages,rtable_Publisher,rtable_Language,rtable_Dimensions,rtable_Weight,rtable_Rating
41,35,2355,To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336.0,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,4.7,TO KILL A MOCKINGBIRD,8.99,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 3061 >  > in > Books > # > 232 >  > in > Books > Literature & Fiction > # > 18 >  > in > Books > Literature & Fiction > Literary,"LEE, HARPER",1120082,336.0,HarperCollins,English,8.00 x 5.50 x 1.00 Inches,,3.0
42,37,2342,The Light We Lost Paperback ,10.07,Books > Literature & Fiction > Women's Fiction,Jill Santopolo,735212767,352.0,G.P. Putnam's Sons; Reprint edition ,English,5.1 x 0.9 x 8 inches,9.4 ounces,4.2,The Light We Lost,5.36,Books > Literature & Fiction > Fiction > Contemporary Women,Jill Santopolo,735212767,352.0,Penguin Publishing GroupG.P. Putnam's Sons,English,,,
43,38,1846,The Handmaid's Tale Paperback ,9.59,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,038549081X,311.0,Anchor; 1st Anchor Books edition ,English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1,The Handmaid's Tale,8.77,Books > Literature & Fiction > Fiction > Dystopian,"ATWOOD, MARGARET",052543500X,336.0,Random House Inc,,5.00 x 8.00 x 0.75 Inches,,
44,38,2066,The Handmaid's Tale Paperback ,9.59,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,038549081X,311.0,Anchor; 1st Anchor Books edition ,English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1,HANDMAID'S TALE,9.59,Books > Walmart Best Sellers > Best seller ranking: > # > 5401 >  > in > Books > # > 447 >  > in > Books > Literature & Fiction > # > 31 >  > in > Books > Literature & Fiction > Literary,"ATWOOD, MARGARET",038549081X,336.0,Random House Inc,English,8.00 x 5.25 x 0.75 Inches,,4.5
46,39,823,The Great Gatsby Paperback ,10.49,Books > Literature & Fiction > Classics,F. Scott Fitzgerald,743273567,180.0,Scribner ,English,5.2 x 0.4 x 8 inches,5.6 ounces,4.3,GREAT GATSBY,10.48,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 196 >  > in > Books > # > 16 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > Classics,F. Scott Fitzgerald,3273562,192.0,Scribner,English,203.20 x 5.25 x 0.40 Millimeters,,4.8333
47,40,737,Still Me,17.7,Books > Literature & Fiction > Genre Fiction,Jojo Moyes,399562451,,Pamela Dorman Books ,English,6.4 x 1.3 x 9.3 inches,1.4 pounds,4.7,Still Me,16.2,Books > Literature & Fiction > Fiction > Contemporary Women,Jojo Moyes,399562451,400.0,Penguin Publishing GroupPamela Dorman Books,English,9.00 x 6.00 x 1.00 Inches (US),,
48,42,168,Red Sparrow,8.3,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501168916,576.0,Pocket Books; Media Tie-In edition ,English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4.4,RED SPARROW,13.91,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage",Jason Matthews,6706131,464.0,Scribner,English,203.20 x 5.25 x 25.40 Millimeters,,
49,42,298,Red Sparrow,8.3,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501168916,576.0,Pocket Books; Media Tie-In edition ,English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4.4,Red Sparrow,13.58,Books > Literature & Fiction > Fiction > Media Tie-Ins,Jason Matthews,1501171577,464.0,Scribner,English,203.20 x 5.25 x 1.20 Millimeters,,
50,42,1343,Red Sparrow,8.3,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501168916,576.0,Pocket Books; Media Tie-In edition ,English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4.4,RED SPARROW (MTI),8.58,Books > Literature & Fiction > Fiction > Media Tie-Ins,Jason Matthews,1501168916,576.0,Pocket Books,English,190.50 x 104.78 x 1.20 Millimeters,,
53,45,376,The Hobbit and the Lord of the Rings the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback ,22.99,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,345538374,1728.0,Del Rey ,English,4.2 x 4.3 x 7 inches,2 pounds,4.7,The Hobbit and The Lord of the Rings,34.82,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,J.R.R. Tolkien,7928186,1504.0,Houghton Mifflin HarcourtMariner Books,English,8.20 x 139.70 x 90.98 Inches (US),,5.0
55,45,1497,The Hobbit and the Lord of the Rings the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback ,22.99,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,345538374,1728.0,Del Rey ,English,4.2 x 4.3 x 7 inches,2 pounds,4.7,The Hobbit and The Lord of the Rings,27.47,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 574 >  > in > Books > # > 42 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Fantasy,J.R.R. Tolkien,4445786,1504.0,Houghton Mifflin Harcourt,English,5.88 x 107.95 x 3.76 Inches (US),,4.0
56,46,2119,High Voltage Fever,18.3,Books > Science Fiction & Fantasy > Fantasy,Karen Marie Moning,399593667,,Delacorte Press ,English,6.2 x 1.5 x 9.5 inches,1.6 pounds,4.7,High Voltage,22.56,Books > Literature & Fiction > Fiction > Romance > Fantasy,"Moning, Karen Marie",399593667,477.0,Random House Inc,English,9.75 x 6.50 x 1.50 Inches,,
57,47,2293,Oathbringer,21.21,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,076532637X,,Tor Books ,English,6.4 x 2.3 x 9.6 inches,3 pounds,4.6,Oathbringer ,21.21,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Brandon Sanderson,076532637X,1248.0,Tom Doherty AssociatesTor Books,English,9.12 x 155.57 x 58.55 Inches (US),,
58,49,2159,Chronicles of Narnia Box Set Paperback ,30.64,Books > Children's Books > Science Fiction & Fantasy,C. S. Lewis,61992887,,HarperCollins Narnia; Media Tie In edition ,English,4.3 x 4.3 x 7 inches,1.6 pounds,4.7,The Chronicles of Narnia (Paperback),29.07,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Lewis, C. S.",7117302,,,,,,
59,49,2362,Chronicles of Narnia Box Set Paperback ,30.64,Books > Children's Books > Science Fiction & Fantasy,C. S. Lewis,61992887,,HarperCollins Narnia; Media Tie In edition ,English,4.3 x 4.3 x 7 inches,1.6 pounds,4.7,The Chronicles of Narnia,23.58,Books > Literature & Fiction > Fiction > Classics,"Lewis, C. S.",598244,778.0,Harpercollins Childrens Books,English,9.75 x 6.50 x 2.25 Inches,,5.0
60,50,1335,Brave New World Paperback ,12.99,Books > Science Fiction & Fantasy > Science Fiction,Aldous Huxley,60850523,288.0,Harper Perennial; Reprint edition ,English,5.3 x 0.6 x 8 inches,5.6 ounces,4.2,Brave New World,12.95,Books > Literature & Fiction > Fiction > Classics,"Huxley, Aldous",2696125,259.0,HarperCollins,English,9.00 x 6.00 x 1.00 Inches,,
62,50,1568,Brave New World Paperback ,12.99,Books > Science Fiction & Fantasy > Science Fiction,Aldous Huxley,60850523,288.0,Harper Perennial; Reprint edition ,English,5.3 x 0.6 x 8 inches,5.6 ounces,4.2,BRAVE NEW WORLD,12.99,Books > Literature & Fiction > Fiction > Political > Best seller ranking: > # > 1551 >  > in > Books > # > 100 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Classics,"HUXLEY, ALDOUS",850522,288.0,Harpercollins,English,5.50 x 8.00 x 0.75 Inches,,4.0
63,50,2061,Brave New World Paperback ,12.99,Books > Science Fiction & Fantasy > Science Fiction,Aldous Huxley,60850523,288.0,Harper Perennial; Reprint edition ,English,5.3 x 0.6 x 8 inches,5.6 ounces,4.2,Brave New World,19.95,Books > Literature & Fiction > Fiction > Classics,"Huxley, Aldous",5712364,232.0,Random House Inc,English,5.50 x 8.50 x 1.00 Inches,,
65,56,1415,Animal Farm,13.59,Books > Humor & Entertainment > Humor,George Orwell,151010269,,Houghton Mifflin Harcourt; 1 edition ,English,5.5 x 1.2 x 8.2 inches,1.1 pounds,4.5,Animal Farm,8.53,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 1062 >  > in > Books > # > 66 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Literary,George Orwell,1526343,176.0,SignetPenguin Publishing Group,English,,,5.0
66,56,2453,Animal Farm,13.59,Books > Humor & Entertainment > Humor,George Orwell,151010269,,Houghton Mifflin Harcourt; 1 edition ,English,5.5 x 1.2 x 8.2 inches,1.1 pounds,4.5,Animal Farm,7.38,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 4768 >  > in > Books > # > 375 >  > in > Books > Literature & Fiction > # > 23 >  > in > Books > Literature & Fiction > Classics,George Orwell,2277503,128.0,BerkleyPenguin Publishing Group,English,,,5.0
67,57,185,It,12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184.0,Scribner; Media Tie-In edition ,English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5,It ,19.6,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Stephen King,1501182099,1168.0,Scribner,,9.25 x 155.57 x 2.20 Inches (US),,
68,57,1815,It,12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184.0,Scribner; Media Tie-In edition ,English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5,It ,16.28,Books > Literature & Fiction > Fiction > Horror,Stephen King,1142970,1168.0,Scribner,,8.38 x 139.70 x 2.00 Inches (US),,5.0
69,57,2380,It,12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184.0,Scribner; Media Tie-In edition ,English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5,It ,16.35,Books > Walmart Best Sellers,Stephen King,1501175467,1184.0,Scribner,English,8.38 x 139.70 x 2.40 Inches (US),,5.0
71,59,1143,The Couple Next Door,12.8,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,735221103,336.0,Penguin Books; Reprint edition ,English,5.2 x 0.6 x 8 inches,8 ounces,4.1,The Couple Next Door ,13.25,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime",Shari Lapena,5221102,336.0,Penguin BooksPenguin Publishing Group,English,,,5.0
72,59,1965,The Couple Next Door,12.8,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,735221103,336.0,Penguin Books; Reprint edition ,English,5.2 x 0.6 x 8 inches,8 ounces,4.1,La pareja de al lado / The Couple Next Door,13.56,Books > Literature & Fiction > Fiction > Contemporary Women,"Lapena, Shari",5540199,390.0,Penguin Random House Grupo USA,Spanish,9.00 x 6.00 x 1.00 Inches,,
73,60,2260,Night Moves,18.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jonathan Kellerman,345541464,,Ballantine Books ,English,6.4 x 1.2 x 9.6 inches,1.4 pounds,4.4,Night Moves,18.26,Books > Mother's Day Books > Mother's Day Literature & Fiction Books,"Kellerman, Jonathan",345541464,395.0,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,,
74,62,688,Sunburn,17.7,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Laura Lippman,62389920,,William Morrow ,English,6 x 1 x 9 inches,12 ounces,4.2,Sunburn,20.29,Books > Mother's Day Books > Mother's Day Literature & Fiction Books,"Lippman, Laura",62389920,292.0,HarperCollins,English,9.50 x 6.25 x 1.00 Inches,,
75,63,1138,Look for Me D. D. Warren,16.56,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,1524742058,,Dutton ,English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3,Look for Me,15.64,Books > Mother's Day Books > Mother's Day Literature & Fiction Books,Lisa Gardner,1524742058,400.0,DuttonPenguin Publishing Group,English,9.00 x 6.00 x 1.00 Inches (US),,
76,63,1460,Look for Me D. D. Warren,16.56,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,1524742058,,Dutton ,English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3,Look for Me,21.92,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","Gardner, Lisa",525589236,530.0,Random House Inc,English,9.25 x 6.25 x 1.25 Inches,,
77,65,359,The Last Mrs. Parrish,17.67,Books > Literature & Fiction > Women's Fiction,Liv Constantine,62667572,,Harper; First Edition edition ,English,6 x 1.2 x 9 inches,1.4 pounds,4.2,The Last Mrs. Parrish,16.98,Books > Literature & Fiction > Fiction > Contemporary Women,"Constantine, Liv",62667572,393.0,HarperCollins,English,9.00 x 6.00 x 1.25 Inches,,
78,66,1311,The Woman in Cabin 10 Paperback ,9.8,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ruth Ware,1501132954,384.0,Gallery/Scout Press; Reprint edition ,English,5.3 x 1 x 8.2 inches,8 ounces,3.8,The Woman in Cabin 10,9.8,Books > Walmart Best Sellers,Ruth Ware,1132957,384.0,Gallery/Scout Press,English,8.25 x 5.31 x 25.40 Inches (US),,
79,66,1319,The Woman in Cabin 10 Paperback ,9.8,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ruth Ware,1501132954,384.0,Gallery/Scout Press; Reprint edition ,English,5.3 x 1 x 8.2 inches,8 ounces,3.8,"WOMAN IN CABIN 10, THE",7.49,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Ruth Ware,1132936,352.0,Gallery/Scout Press,English,228.60 x 6.00 x 1.10 Millimeters,,
81,67,728,The Rising Sea The NUMA Files,18.9,Books > Literature & Fiction > Action & Adventure,Clive Cussler,735215537,,G.P. Putnam's Sons ,English,6.2 x 1.6 x 9.3 inches,1.4 pounds,5.0,The Rising Sea,28.99,Books > Literature & Fiction > Fiction > Action & Adventure,Clive Cussler Graham Brown,525590633,,Penguin AudioPenguin Random House Audio Publishing Group,English,6.00 x 5.00 x 1.00 Inches,,
83,68,1659,Big Little Lies Paperback ,12.78,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Liane Moriarty,425274861,512.0,Berkley; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,1.6 pounds,4.5,Big Little Lies,15.79,Books > Literature & Fiction > Fiction > Contemporary Women > Best seller ranking: > # > 6408 >  > in > Books > # > 544 >  > in > Books > Literature & Fiction > # > 14 >  > in > Books > Literature & Fiction > Contemporary Women,Liane Moriarty,9167065,480.0,BerkleyPenguin Publishing Group,English,9.31 x 6.31 x 1.50 Inches (US),,5.0
84,68,2474,Big Little Lies Paperback ,12.78,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Liane Moriarty,425274861,512.0,Berkley; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,1.6 pounds,4.5,Big Little Lies (Movie Tie-In),6.44,Books > Literature & Fiction > Fiction > Contemporary Women,Liane Moriarty,9587204,512.0,BerkleyPenguin Publishing Group,English,7.50 x 4.25 x 1.06 Inches (US),,
85,70,702,Lincoln in the Bardo,10.7,Books > Literature & Fiction > Genre Fiction,George Saunders,812985400,368.0,Random House Trade Paperbacks; Reprint edition ,English,5.5 x 0.8 x 8.2 inches,11.4 ounces,3.6,Lincoln in the Bardo,25.24,Books > Literature & Fiction > Fiction > Historical,"Saunders, George",553397575,,Random House,English,6.00 x 5.25 x 1.00 Inches,,
