Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"Area X: The Southern Reach Trilogy: Annihilation; Authority; Acceptance Hardcover – November 18, 2014",$31.50 ,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374261172,,"FSG Originals; First Edition edition (November 18, 2014)",English,6.6 x 1.8 x 8.5 inches,1.5 pounds,3.7 out of 5 stars
"1984 (Signet Classics) Mass Market Paperback – Unabridged, July 1, 1950",$6.17 ,Books > Humor & Entertainment > Humor,George Orwell,451524934,328 pages,"Signet Classic (January 1, 1961)",English,4.2 x 0.9 x 7.5 inches,8.5 ounces,4.5 out of 5 stars
"Dungeon Master's Screen Reincarnated Book Supplement – September 19, 2017",$10.71 ,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,078696619X,,"Wizards of the Coast; Brdgm edition (September 19, 2017)",English,8.5 x 0.4 x 10.8 inches,13.4 ounces,4.7 out of 5 stars
"Burn Bright (Alpha and Omega) Hardcover – March 6, 2018",$16.20 ,Books > Science Fiction & Fantasy > Fantasy,Patricia Briggs,425281310,,"Ace (March 6, 2018)",English,6.4 x 1 x 9.3 inches,1.1 pounds,4.7 out of 5 stars
"Altered Carbon (Takeshi Kovacs) Paperback – March 4, 2003",$12.98 ,Books > Science Fiction & Fantasy > Science Fiction,Richard K. Morgan,345457684,375 pages,"Del Rey; 1st edition (March 4, 2003)",English,6.1 x 0.9 x 9.2 inches,12.8 ounces,4.3 out of 5 stars
"Authority: A Novel (The Southern Reach Trilogy) Paperback – May 6, 2014",$13.39 ,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374104107,352 pages,"FSG Originals; First Printing edition (May 6, 2014)",English,5 x 0.9 x 7.5 inches,8.8 ounces,3.6 out of 5 stars
"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback – October 29, 2013",$32.49 ,Books > Literature & Fiction > Action & Adventure,George R. R. Martin,345535529,5216 pages,"Bantam; Media Tie In edition (October 29, 2013)",English,8 x 4.5 x 7 inches,5.1 pounds,4.7 out of 5 stars
"The Power Hardcover – October 10, 2017",$20.87 ,Books > Literature & Fiction > Genre Fiction,Naomi Alderman,316547611,,"Little, Brown and Company; F First Edition edition (October 10, 2017)",English,6 x 1.2 x 8.6 inches,1.1 pounds,4.0 out of 5 stars
"Artemis: A Novel Hardcover – November 14, 2017",$16.63 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Andy Weir,553448129,,"Crown; F First Edition edition (November 14, 2017)",English,6.4 x 1.1 x 9.5 inches,1.2 pounds,3.9 out of 5 stars
"Acceptance: A Novel (The Southern Reach Trilogy) Paperback – September 2, 2014",$13.24 ,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374104115,352 pages,"FSG Originals; First Edition edition (September 2, 2014)",English,5.1 x 0.9 x 7.5 inches,8.8 ounces,3.4 out of 5 stars
"Uncompromising Honor (Honor Harrington) Hardcover – October 2, 2018",$23.71 ,Books > Science Fiction & Fantasy > Science Fiction,David Weber,1481483501,,"Baen (October 2, 2018)",English,6.1 x 9.2 inches,1.7 pounds,
"The Alice Network: A Novel Paperback – Deckle Edge, June 6, 2017",$10.70 ,Books > Literature & Fiction > Genre Fiction,Kate Quinn,62654195,528 pages,"William Morrow Paperbacks (June 6, 2017)",English,5.3 x 0.8 x 8 inches,12.8 ounces,4.7 out of 5 stars
"The Fallen (Memory Man series) Hardcover – April 17, 2018",$18.14 ,Books > Literature & Fiction > Action & Adventure,David Baldacci,1538761394,,"Grand Central Publishing (April 17, 2018)",English,1.1 x 1.1 inches,1.7 pounds,
"Eleanor Oliphant Is Completely Fine: A Novel Hardcover – May 9, 2017",$18.16 ,Books > Literature & Fiction > Women's Fiction,Gail Honeyman,735220689,,"Pamela Dorman Books; F First Edition edition (May 9, 2017)",English,6.3 x 1.2 x 9.3 inches,1.2 pounds,4.7 out of 5 stars
"The Punishment She Deserves: A Lynley Novel Hardcover – March 20, 2018",$18.30 ,"Books > Mystery, Thriller & Suspense > Mystery",Elizabeth George,525954341,,"Viking (March 20, 2018)",English,6.4 x 2 x 9.6 inches,2.2 pounds,5.0 out of 5 stars
"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row Hardcover – January 22, 2018",$19.43 ,Books > Biographies & Memoirs > True Crime,James PattersonAlex AbramovichMike Harvkey,316412651,,"Little, Brown and Company (January 22, 2018)",English,6.5 x 1.4 x 9.5 inches,1.4 pounds,4.2 out of 5 stars
"Everything I Never Told You Paperback – May 12, 2015",$12.80 ,Books > Literature & Fiction > Genre Fiction,Celeste Ng,143127551,297 pages,"Penguin Books; Reprint edition (May 12, 2015)",English,5.1 x 0.6 x 7.8 inches,8 ounces,4.1 out of 5 stars
"Palace of Treason: A Novel (The Red Sparrow Trilogy) Paperback – June 13, 2017",$9.34 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,147679376X,496 pages,"Scribner; Reprint edition (June 13, 2017)",English,5.2 x 1 x 8 inches,13.4 ounces,4.6 out of 5 stars
"The Rooster Bar Hardcover – October 24, 2017",$15.28 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Grisham,385541171,,"Doubleday; 1st Edition edition (October 24, 2017)",English,6.4 x 1.2 x 9.5 inches,1.4 pounds,3.7 out of 5 stars
"Holy Ghost Hardcover – October 2, 2018",$26.10 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",John Sandford,735217327,,"G.P. Putnam's Sons (October 2, 2018)",English,6 x 1.2 x 9 inches,1.4 pounds,
"Lord of the Flies Mass Market Paperback – Antique Books, December 16, 2003",$8.89 ,Books > Literature & Fiction > Genre Fiction,William Golding,399501487,224 pages,"Penguin Books; Reissue edition (December 16, 2003)",English,4.2 x 0.6 x 7.6 inches,4 ounces,4.2 out of 5 stars
"The Masterpiece Hardcover – February 6, 2018",$17.10 ,Books > Christian Books & Bibles > Literature & Fiction,Francine Rivers,1496407903,,"Tyndale House Publishers, Inc. (February 6, 2018)",English,5.7 x 1.8 x 8.9 inches,1.6 pounds,4.8 out of 5 stars
"The Wife Between Us: A Novel Hardcover – January 9, 2018",$16.19 ,Books > Literature & Fiction > Women's Fiction,Greer HendricksSarah Pekkanen,1250130921,,"St. Martin's Press (January 9, 2018)",English,6.4 x 1.3 x 9.6 inches,1.2 pounds,4.2 out of 5 stars
"To Kill a Mockingbird Paperback – July 5, 2005",$8.99 ,Books > Literature & Fiction > Classics,Harper Lee,60935464,336 pages,Harper Perennial Modern Classics (2002),English,5.2 x 1 x 8.2 inches,9 ounces,4.7 out of 5 stars
"Annihilation: A Novel (The Southern Reach Trilogy) Paperback – February 4, 2014",$8.41 ,Books > Literature & Fiction > Genre Fiction,Jeff VanderMeer,374104093,208 pages,"FSG Originals; First Edition edition (February 4, 2014)",English,5.1 x 0.6 x 7.5 inches,5.6 ounces,3.6 out of 5 stars
"The Light We Lost Paperback – February 6, 2018",$10.07 ,Books > Literature & Fiction > Women's Fiction,Jill Santopolo,735212767,352 pages,"G.P. Putnam's Sons; Reprint edition (February 6, 2018)",English,5.1 x 0.9 x 8 inches,9.4 ounces,4.2 out of 5 stars
"The Handmaid's Tale Paperback – March 16, 1998",$9.59 ,Books > Literature & Fiction > Genre Fiction,Margaret Atwood,038549081X,311 pages,"Anchor; 1st Anchor Books edition (March 16, 1998)",English,5.2 x 0.7 x 8 inches,4.8 ounces,4.1 out of 5 stars
"The Great Gatsby Paperback – September 30, 2004",$10.49 ,Books > Literature & Fiction > Classics,F. Scott Fitzgerald,743273567,180 pages,"Scribner (September 30, 2004)",English,5.2 x 0.4 x 8 inches,5.6 ounces,4.3 out of 5 stars
"Still Me: A Novel Hardcover – January 30, 2018",$17.70 ,Books > Literature & Fiction > Genre Fiction,Jojo Moyes,399562451,,"Pamela Dorman Books (January 30, 2018)",English,6.4 x 1.3 x 9.3 inches,1.4 pounds,4.7 out of 5 stars
"Past Tense: A Jack Reacher Novel Hardcover – November 5, 2018",$26.09 ,Books > Literature & Fiction > Action & Adventure,Lee Child,399593519,,"Delacorte Press (November 5, 2018)",English,6 x 1 x 9 inches,1.4 pounds,
"Red Sparrow: A Novel (The Red Sparrow Trilogy) Mass Market Paperback – February 20, 2018",$8.30 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501168916,576 pages,"Pocket Books; Media Tie-In edition (February 20, 2018)",English,4.1 x 1.3 x 7.5 inches,10.9 ounces,4.4 out of 5 stars
"The Outsider Hardcover – May 22, 2018",$19.49 ,Books > Literature & Fiction > Genre Fiction,Stephen King,1501180983,,"Scribner (May 22, 2018)",English,6.1 x 9.2 inches,12 pounds,
"Go the F**k to Sleep Hardcover – June 14, 2011",$12.35 ,Books > Humor & Entertainment > Humor,Adam MansbachRicardo Cortés,1617750255,,"Akashic Books; 1st edition (June 14, 2011)",English,8.5 x 0.2 x 6.5 inches,7.2 ounces,4.7 out of 5 stars
"The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the Mass Market Paperback – September 25, 2012",$22.99 ,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,345538374,1728 pages,"Del Rey (September 25, 2012)",English,4.2 x 4.3 x 7 inches,2 pounds,4.7 out of 5 stars
"High Voltage (Fever) Hardcover – March 6, 2018",$18.30 ,Books > Science Fiction & Fantasy > Fantasy,Karen Marie Moning,399593667,,"Delacorte Press (March 6, 2018)",English,6.2 x 1.5 x 9.5 inches,1.6 pounds,4.7 out of 5 stars
"Oathbringer: Book Three of the Stormlight Archive Hardcover – November 14, 2017",$21.21 ,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,076532637X,,"Tor Books (November 14, 2017)",English,6.4 x 2.3 x 9.6 inches,3 pounds,4.6 out of 5 stars
"Dungeons & Dragons Starter Set Book Supplement – July 15, 2014",$16.97 ,Books > Humor & Entertainment > Puzzles & Games,Wizards RPG Team,786965592,,"Wizards of the Coast; Brdgm edition (July 15, 2014)",English,9.1 x 2.1 x 11.6 inches,1 pounds,4.5 out of 5 stars
"Chronicles of Narnia Box Set Paperback – Box set, October 19, 2010",$30.64 ,Books > Children's Books > Science Fiction & Fantasy,C. S. Lewis,61992887,,"HarperCollins Narnia; Media Tie In edition (October 19, 2010)",English,4.3 x 4.3 x 7 inches,1.6 pounds,4.7 out of 5 stars
"Brave New World Paperback – October 17, 2006",$12.99 ,Books > Science Fiction & Fantasy > Science Fiction,Aldous Huxley,60850523,288 pages,"Harper Perennial; Reprint edition (October 18, 2006)",English,5.3 x 0.6 x 8 inches,5.6 ounces,4.2 out of 5 stars
"Sword Coast Adventurer's Guide (D&D Accessory) Hardcover – November 3, 2015",$29.29 ,Books > Humor & Entertainment > Puzzles & Games,Wizards RPG Team,786965800,,"Wizards of the Coast (November 3, 2015)",English,8.5 x 0.5 x 11.2 inches,1.3 pounds,4.0 out of 5 stars
"The Shape of Water Hardcover – March 6, 2018",$18.59 ,Books > Literature & Fiction > Genre Fiction,Daniel Kraus,1250165342,,"Feiwel & Friends (March 6, 2018)",English,6.4 x 1.1 x 9.2 inches,1 pounds,3.8 out of 5 stars
"Saga Volume 8 Paperback – January 2, 2018",$9.64 ,Books > Science Fiction & Fantasy > Science Fiction,Brian K Vaughan,1534303499,152 pages,"Image Comics (January 2, 2018)",English,6.4 x 0.5 x 10 inches,11 ounces,4.5 out of 5 stars
"Slaughterhouse-Five: A Novel (Modern Library 100 Best Novels) Paperback – January 12, 1999",$11.39 ,Books > Literature & Fiction > Genre Fiction,Kurt Vonnegut,385333846,288 pages,"Dial Press Trade Paperback; Reissue edition (January 12, 1999)",English,5.3 x 0.7 x 8 inches,8.5 ounces,4.2 out of 5 stars
"Iron Gold: Book 4 of the Red Rising Saga (Red Rising Series) Hardcover – January 16, 2018",$19.04 ,Books > Literature & Fiction > Action & Adventure,Pierce Brown,042528591X,,"Del Rey (January 16, 2018)",English,6.5 x 1.6 x 9.5 inches,1.9 pounds,4.4 out of 5 stars
"Animal Farm: 1984 Hardcover – June 1, 2003",$13.59 ,Books > Humor & Entertainment > Humor,George Orwell,151010269,,"Houghton Mifflin Harcourt; 1 edition (June 1, 2003)",English,5.5 x 1.2 x 8.2 inches,1.1 pounds,4.5 out of 5 stars
"It: A Novel Paperback – September 5, 2017",$12.22 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184 pages,"Scribner; Media Tie-In edition (September 5, 2017)",English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5 out of 5 stars
"The Alienist (TNT Tie-in Edition): A Novel Paperback – November 21, 2017",$10.70 ,Books > Literature & Fiction > Genre Fiction,Caleb Carr,525510273,512 pages,"Random House Trade Paperbacks; Media Tie In edition (November 21, 2017)",English,5.2 x 1.1 x 7.9 inches,10.4 ounces,4.4 out of 5 stars
"The Couple Next Door: A Novel Paperback – May 30, 2017",$12.80 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,735221103,336 pages,"Penguin Books; Reprint edition (May 30, 2017)",English,5.2 x 0.6 x 8 inches,8 ounces,4.1 out of 5 stars
"Night Moves: An Alex Delaware Novel Hardcover – February 13, 2018",$18.26 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jonathan Kellerman,345541464,,"Ballantine Books (February 13, 2018)",English,6.4 x 1.2 x 9.6 inches,1.4 pounds,4.4 out of 5 stars
"The Disappeared (A Joe Pickett Novel) Hardcover – March 27, 2018",$17.70 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",C. J. Box,399176624,,"G.P. Putnam's Sons (March 27, 2018)",English,6.4 x 1.3 x 9.3 inches,1.3 pounds,
"Sunburn: A Novel Hardcover – February 20, 2018",$17.70 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Laura Lippman,62389920,,"William Morrow (February 20, 2018)",English,6 x 1 x 9 inches,12 ounces,4.2 out of 5 stars
"Look for Me (D. D. Warren) Hardcover – February 6, 2018",$16.56 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,1524742058,,"Dutton (February 6, 2018)",English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3 out of 5 stars
"The Flight Attendant: A Novel Hardcover – March 13, 2018",$16.20 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Chris Bohjalian,385542410,,"Doubleday (March 13, 2018)",English,6.5 x 1.5 x 9.5 inches,1.4 pounds,4.3 out of 5 stars
"The Last Mrs. Parrish: A Novel Hardcover – October 17, 2017",$17.67 ,Books > Literature & Fiction > Women's Fiction,Liv Constantine,62667572,,"Harper; First Edition edition (October 17, 2017)",English,6 x 1.2 x 9 inches,1.4 pounds,4.2 out of 5 stars
"The Woman in Cabin 10 Paperback – April 11, 2017",$9.80 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ruth Ware,1501132954,384 pages,"Gallery/Scout Press; Reprint edition (April 11, 2017)",English,5.3 x 1 x 8.2 inches,8 ounces,3.8 out of 5 stars
"The Rising Sea (The NUMA Files) Hardcover – March 13, 2018",$18.90 ,Books > Literature & Fiction > Action & Adventure,Clive Cussler,735215537,,"G.P. Putnam's Sons (March 13, 2018)",English,6.2 x 1.6 x 9.3 inches,1.4 pounds,5.0 out of 5 stars
"Big Little Lies Paperback – August 11, 2015",$12.78 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Liane Moriarty,425274861,512 pages,"Berkley; Reprint edition (August 11, 2015)",English,5.5 x 1.1 x 8.2 inches,1.6 pounds,4.5 out of 5 stars
"Hamilton: The Revolution Hardcover – April 12, 2016",$28.20 ,Books > Arts & Photography > Performing Arts,Lin-Manuel MirandaJeremy McCarter,1455539740,,"Grand Central Publishing; First Edition edition (April 12, 2016)",English,9 x 1.6 x 10.6 inches,2.7 pounds,4.8 out of 5 stars
"Lincoln in the Bardo: A Novel Paperback – February 6, 2018",$10.70 ,Books > Literature & Fiction > Genre Fiction,George Saunders,812985400,368 pages,"Random House Trade Paperbacks; Reprint edition (February 6, 2018)",English,5.5 x 0.8 x 8.2 inches,11.4 ounces,3.6 out of 5 stars
"All the Light We Cannot See: A Novel Paperback – April 4, 2017",$9.98 ,Books > Literature & Fiction > Genre Fiction,Anthony Doerr,1501173219,544 pages,"Scribner; Reprint edition (April 4, 2017)",English,5.2 x 1.1 x 8 inches,13.4 ounces,4.6 out of 5 stars
"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed) Paperback – Box set, June 12, 2012",$26.49 ,Books > Literature & Fiction > Women's Fiction,E L James,034580404X,1625 pages,"Vintage; Box edition (June 12, 2012)",English,5.2 x 3 x 8 inches,2.7 pounds,4.2 out of 5 stars
"Fifty Fifty (Harriet Blue) Hardcover – February 19, 2018",$16.79 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316513229,,"Little, Brown and Company (February 19, 2018)",English,6.4 x 1.4 x 9.6 inches,1.4 pounds,3.7 out of 5 stars
"Erotic Stories for Punjabi Widows: A Novel Paperback – March 6, 2018",$10.17 ,Books > Literature & Fiction > Genre Fiction,Balli Kaur Jaswal,62645110,320 pages,"William Morrow Paperbacks; Reprint edition (March 6, 2018)",English,5.3 x 0.7 x 8 inches,8 ounces,4.0 out of 5 stars
"You're Only Old Once!: A Book for Obsolete Children Hardcover – January 27, 2009",$11.60 ,Books > Humor & Entertainment > Humor,Dr. Seuss,394551907,,Random House; 1st edition (March 1986),English,8.4 x 0.4 x 11.4 inches,11.2 ounces,4.5 out of 5 stars
"The Kremlin's Candidate: A Novel (The Red Sparrow Trilogy) Hardcover – February 13, 2018",$18.35 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jason Matthews,1501140086,,"Scribner (February 13, 2018)",English,6 x 1.2 x 9 inches,1.3 pounds,3.9 out of 5 stars
"Lilac Girls: A Novel Paperback – February 28, 2017",$12.61 ,Books > Literature & Fiction > Genre Fiction,Martha Hall Kelly,1101883081,512 pages,"Ballantine Books; Reprint edition (February 28, 2017)",English,5.2 x 1.1 x 7.9 inches,13.4 ounces,4.6 out of 5 stars
"One Hundred Years of Solitude (Harper Perennial Modern Classics) Paperback – February 21, 2006",$10.69 ,Books > Literature & Fiction > World Literature,Gabriel Garcia MarquezGregory Rabassa,60883286,417 pages,"Harper Perennial Modern Classics; Reprint edition (February 21, 2006)",English,5.3 x 1 x 8 inches,1.3 pounds,4.0 out of 5 stars
"Last Shot (Star Wars): A Han and Lando Novel Hardcover – April 17, 2018",$24.20 ,Books > Literature & Fiction > Genre Fiction,Daniel José Older,525622136,,"Del Rey (April 17, 2018)",English,6.1 x 0.9 x 9.2 inches,1.4 pounds,
"The Secret Paperback – January 16, 2015",$26.43 ,Books > Humor & Entertainment > Puzzles & Games,Byron Preiss,1596874015,226 pages,"iBooks (January 16, 2015)",English,6 x 0.5 x 9 inches,12.8 ounces,2.9 out of 5 stars
"The Witcher Boxed Set: Blood of Elves, The Time of Contempt, Baptism of Fire Paperback – October 3, 2017",$25.33 ,Books > Literature & Fiction > Action & Adventure,Andrzej Sapkowski,316438979,1216 pages,"Orbit; Translation edition (October 3, 2017)",English,5.5 x 3.2 x 8.4 inches,2.3 pounds,4.4 out of 5 stars
"How to Stop Time Hardcover – February 6, 2018",$17.10 ,Books > Literature & Fiction > Genre Fiction,Matt Haig,525522875,,"Viking; 1st Edition edition (February 6, 2018)",English,5.9 x 1.1 x 8.6 inches,15.8 ounces,4.3 out of 5 stars
"Tales From the Yawning Portal (Dungeons & Dragons) Hardcover – April 4, 2017",$25.77 ,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,786966092,,"Wizards of the Coast (April 4, 2017)",English,8.5 x 0.6 x 11.2 inches,1.3 pounds,4.5 out of 5 stars
"Tomb of Annihilation (Dungeons & Dragons) Hardcover – September 19, 2017",$34.75 ,Books > Science Fiction & Fantasy > Gaming,Wizards RPG Team,786966106,,"Wizards of the Coast (September 19, 2017)",English,8.5 x 0.7 x 11.2 inches,1.9 pounds,4.7 out of 5 stars
"Armada: A novel by the author of Ready Player One Paperback – April 12, 2016",$12.80 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Ernest Cline,804137277,384 pages,"Broadway Books; Reprint edition (April 12, 2016)",English,5.2 x 0.8 x 8 inches,13.6 ounces,3.6 out of 5 stars
"The Three-Body Problem Paperback – January 12, 2016",$4.85 ,Books > Literature & Fiction > World Literature,Cixin Liu,765382032,416 pages,"Tor Books (January 12, 2016)",English,6.2 x 1.1 x 9.2 inches,15.5 ounces,4.2 out of 5 stars
"The Hobbit Paperback – September 18, 2012",$9.50 ,Books > Children's Books > Science Fiction & Fantasy,J. R. R. Tolkien,054792822X,300 pages,"Houghton Mifflin Harcourt (September 18, 2012)",English,5.5 x 0.8 x 8.2 inches,9.6 ounces,4.7 out of 5 stars
"Her Body and Other Parties: Stories Paperback – October 3, 2017",$10.69 ,Books > Literature & Fiction > Short Stories & Anthologies,Carmen Maria Machado,155597788X,248 pages,"Graywolf Press; 1st Edition edition (October 3, 2017)",English,5.6 x 0.8 x 8.2 inches,12 ounces,4.2 out of 5 stars
"Dark Sacred Night (A Bosch and Ballard Novel) Hardcover – October 30, 2018",$26.10 ,"Books > Mystery, Thriller & Suspense > Mystery",Michael Connelly,316484806,,"Little, Brown and Company (October 30, 2018)",English,,1.7 pounds,
"The 17th Suspect (Women's Murder Club) Hardcover – April 30, 2018",$18.90 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,316274046,,"Little, Brown and Company (April 30, 2018)",English,1.1 x 1.1 inches,1.7 pounds,4.5 out of 5 stars
"Raspberry Danish Murder (A Hannah Swensen Mystery) Hardcover – February 27, 2018",$14.69 ,"Books > Mystery, Thriller & Suspense > Mystery",Joanne Fluke,1617732249,,"Kensington (February 27, 2018)",English,5.8 x 1.3 x 8.6 inches,1 pounds,3.9 out of 5 stars
"Robert B. Parker's Colorblind (A Jesse Stone Novel) Hardcover – September 11, 2018",$24.30 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Reed Farrel Coleman,399574948,,"G.P. Putnam's Sons (September 11, 2018)",English,6 x 1.1 x 9 inches,1.3 pounds,
"The Dark Tower VI: Song of Susannah (The Dark Tower, Book 6) Mass Market Paperback – May 23, 2006",$6.82 ,Books > Literature & Fiction > Genre Fiction,Stephen King,1416521496,560 pages,"Pocket Books; Reissue edition (June 1, 2006)",English,7.6 x 4.2 x 1.4 inches,12.6 ounces,4.4 out of 5 stars
"The Long Way Home: A Chief Inspector Gamache Novel Paperback – July 28, 2015",$13.73 ,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250022053,400 pages,"Minotaur Books; Reprint edition (July 28, 2015)",English,5.5 x 1.1 x 8.2 inches,12 ounces,4.2 out of 5 stars
"The Nature of the Beast: A Chief Inspector Gamache Novel Paperback – July 26, 2016",$10.87 ,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,125002210X,400 pages,"Minotaur Books; Reprint edition (July 26, 2016)",English,5.4 x 1.1 x 8.3 inches,12 ounces,4.6 out of 5 stars
"Stillhouse Lake (Stillhouse Lake Series) Paperback – July 1, 2017",$9.94 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Rachel Caine,1477848665,300 pages,"Thomas & Mercer; First Edition edition (July 1, 2017)",English,5.5 x 1 x 8.2 inches,14.1 ounces,4.5 out of 5 stars
"Claws for Concern (Cat in the Stacks Mystery) Hardcover – February 20, 2018",$17.10 ,"Books > Mystery, Thriller & Suspense > Mystery",Miranda James,042527778X,,"Berkley (February 20, 2018)",English,6.4 x 1 x 9.3 inches,1 pounds,4.6 out of 5 stars
"Operator Down: A Pike Logan Thriller Hardcover – January 9, 2018",$17.70 ,Books > Literature & Fiction > Action & Adventure,Brad Taylor,1101984813,,"Dutton (January 9, 2018)",English,6.3 x 1.4 x 9.3 inches,1.5 pounds,4.6 out of 5 stars
"Mrs. Dalloway Paperback – September 24, 1990",$8.42 ,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Virginia WoolfMaureen Howard,156628708,224 pages,Mariner Books; 1 edition (1990),English,5.3 x 0.6 x 8 inches,7.2 ounces,3.8 out of 5 stars
