Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
"""A"" Is for Alibi: A Kinsey Millhone Mystery",$14.53 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",Sue Grafton,2353814,320,St. Martin's PressSt. Martin's Griffin,English,8.16 x 142.49 x 22.35 Inches (US),,
Legends and Liars,$13.85 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Julia Knight,6375014,400,Orbit,English,8.25 x 5.50 x 1.00 Inches (US),,
Poison 2 (the Cartel Publications Presents),$15.00 ,Books > Literature & Fiction > Fiction > African American,"Harris, K. D.Harris, Kd",982391307,200,Cartel Publications,English,5.50 x 0.60 x 8.40 Inches,,
Death Without Company : A Longmire Mystery,$11.00 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Craig Johnson,3124817,320,Penguin BooksPenguin Publishing Group,English,,,
Gone Tomorrow: (Jack Reacher 13) (Audio CD),$18.03 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Child, Lee, Shale, Kerry",184657160X,,Cornerstone,,,,
Caramel Crush,$6.42 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Jenn McKinlay,9583812,304,BerkleyPenguin Publishing Group,English,,,
Rotten to the Core,$7.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 71029 >  > in > Books > # > 976 >  > in > Books > Mystery & Suspense > # > 264 >  > in > Books > Mystery & Suspense > Women Sleuths",Sheila Connolly,5228768,304,BerkleyPenguin Publishing Group,English,,,
The Lord of the Rings : 50th Anniversary Edition,$60.80 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 331 >  > in > Books > # > 28 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Fantasy,J.R.R. Tolkien,851765X,1184,Houghton Mifflin Harcourt,English,9.25 x 155.57 x 2.99 Inches (US),,4.9412
The Couple Next Door,$13.59 ,Books > Literature & Fiction > Fiction > Psychological,"Lapena, Shari",143284010X,435,Christian Large Print,,5.50 x 8.50 x 1.00 Inches,,
GRAND OPENING 2: A FAMILY BUSINESS NOVEL -- AA,$13.72 ,Books > Literature & Fiction > Fiction > African American,"WEBER, CARL",1622866045,288,Kensington Pub Corp,,6.50 x 9.25 x 1.25 Inches,,
CANTO BIGHT (STAR WARS),$16.01 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"AHMED, SALADIN",152479953X,320,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,,
Dark Curse,$7.18 ,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 13391 >  > in > Books > # > 327 >  > in > Books > Romance > # > 70 >  > in > Books > Romance > Paranormal,Christine Feehan,514699X,464,BerkleyPenguin Publishing Group,English,6.81 x 4.19 x 1.22 Inches (US),,5
PERSONAL: A JACK REACHERNOVEL,$8.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","CHILD, LEE",4178753,544,Random House,English,7.50 x 4.25 x 1.25 Inches,,
Dark Chocolate Demise,$7.19 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 62234 >  > in > Books > # > 850 >  > in > Books > Mystery & Suspense > # > 218 >  > in > Books > Mystery & Suspense > Women Sleuths",Jenn McKinlay,5258939,304,BerkleyPenguin Publishing Group,English,,,
All Tomorrow's Parties,$7.03 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Cyberpunk,William Gibson,5190441,352,BerkleyPenguin Publishing Group,English,,,
The Kremlin Conspiracy,$21.61 ,Books > Summer Reading Books > Beach Reads,Joel C. Rosenberg,1496406176,480,"Tyndale House Publishers, Inc.",English,9.00 x 6.00 x 1.25 Inches,,
Dragons of Autumn Twilight,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Weis, MargaretHickman, Tracy",6915747,444,Wizards of the Coast,English,6.75 x 4.25 x 1.25 Inches,,
The High Druid's Blade,$7.19 ,Books > Literature & Fiction > Fiction > Action & Adventure,"Brooks, Terry",5540780,370,Random House,English,7.00 x 4.25 x 1.25 Inches,,
Is It Wrong to Try to Pick Up Girls in a Dungeon?,$13.49 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Fujino Omori,031631479X,288,Yen PressYen On,,,,
Hellhole Awakening,$8.76 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Kevin J. AndersonBrian Herbert,5362596,672,Tom Doherty AssociatesTor Science Fiction,English,6.75 x 103.63 x 36.96 Inches (US),,
The Rise of Endymion,$8.34 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Simmons, Dan",3572983,720,Random House,English,6.75 x 4.25 x 1.25 Inches,,
The Last Herald-Mage Trilogy,$15.05 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Mercedes Lackey,6411387,880,DAW,,8.99 x 5.97 x 1.81 Inches (US),,
15TH AFFAIR,$8.58 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",James PattersonMaxine Paetro,5585287,400,Grand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),,
Star Wars,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"Traviss, Karen",5478278,304,Random House,English,7.00 x 4.25 x 0.75 Inches,,
Sea of Sorrows,$7.99 ,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Moore, James A.",1162709,351,Random House,English,7.00 x 4.25 x 1.00 Inches,,
NINE DRAGONS,$9.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",Michael Connelly,6561953,480,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),,3
Kris Longknife: Redoubtable,$8.76 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Shepherd, Mike",1019562,328,Berkley Pub Group,English,6.75 x 4.25 x 1.00 Inches,,
"SINNER: A RIZZOLI&ISLES NOVEL, THE",$9.85 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GERRITSEN, TESS",1887396,432,Random House,English,7.75 x 4.25 x 1.25 Inches,,
Starship Troopers,$13.60 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Robert A. Heinlein,1014103,288,AcePenguin Publishing Group,English,,,
I Am Not a Serial Killer,$9.79 ,Books > Literature & Fiction > Fiction > Horror,Dan Wells,5327829,272,Tom Doherty AssociatesTor Books,English,8.23 x 140.21 x 0.76 Inches (US),,
The Heat Islands,$8.24 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 30914 >  > in > Books > # > 394 >  > in > Books > Mystery & Suspense > # > 74 >  > in > Books > Mystery & Suspense > General",Randy Wayne White,2929777,320,St. Martin's PressSt. Martin's Paperbacks,English,174.50 x 4.26 x 21.84 Millimeters,,
Playing Dead,$7.35 ,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 37734 >  > in > Books > # > 57 >  > in > Books > New Releases > # > 54 >  > in > Books > New Releases > New & Noteworthy,"Brennan, Allison",550273X,472,Random House,English,6.75 x 4.25 x 1.00 Inches,,
Joust : Joust #1,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,Mercedes Lackey,6401536,448,DAW,English,6.65 x 4.24 x 1.19 Inches (US),,
The Grapes of Wrath,$10.15 ,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 2480 >  > in > Books > # > 184 >  > in > Books > Literature & Fiction > # > 13 >  > in > Books > Literature & Fiction > Classics,John Steinbeck,3039439,528,Penguin ClassicsPenguin Publishing Group,English,,,4.5
A Shiver of Light,$7.19 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary > Best seller ranking: > # > 6878 >  > in > Books > # > 609 >  > in > Books > Literature & Fiction > # > 49 >  > in > Books > Literature & Fiction > Fantasy,"Hamilton, Laurell K.",5155480,400,Berkley Pub Group,English,7.00 x 4.25 x 1.25 Inches,,
"SLEEPWALKER: A NOVEL, THE",$12.83 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological","BOHJALIAN, CHRIS",804170991,304,Random House Inc,English,8.00 x 5.25 x 0.50 Inches,,
WALLBANGER,$12.60 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,Alice Clayton,6741181,384,Gallery Books,English,8.25 x 5.31 x 1.20 Inches (US),,
The Queen of Swords,$7.49 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,R. S. Belcher,5390094,368,Tom Doherty AssociatesTor Books,English,239.27 x 6.47 x 1.25 Millimeters,,
UNLUCKY 13,$8.83 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths > Best seller ranking: > # > 12201 >  > in > Books > # > 116 >  > in > Books > Mystery & Suspense > # > 41 >  > in > Books > Mystery & Suspense > Women Sleuths",James PattersonMaxine Paetro,145551599X,400,VisionGrand Central Publishing,English,6.88 x 4.25 x 1.12 Inches (US),,
Gray Mountain,$8.54 ,Books > Literature & Fiction > Fiction > Legal > Best seller ranking: > # > 1432 >  > in > Books > # > 91 >  > in > Books > Literature & Fiction > # > 12 >  > in > Books > Literature & Fiction > Mystery & Suspense,"Grisham, John",345543254,461,Random House,English,,,4.5
Warbreaker,$26.16 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Brandon Sanderson,532030X,592,Tom Doherty AssociatesTor Books,English,9.47 x 6.46 x 46.61 Inches (US),,
The Cutting,$11.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural","Hayman, James",2362991,442,HarperCollins,English,8.25 x 5.50 x 1.25 Inches,,
The Walt Longmire Mystery Series Boxed Set Volumes 1-4,$41.81 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 2742 >  > in > Books > # > 209 >  > in > Books > Literature & Fiction > # > 29 >  > in > Books > Literature & Fiction > Mystery & Suspense",Craig Johnson,7508775,,Penguin BooksPenguin Publishing Group,English,7.14 x 5.20 x 2.90 Inches (US),,4
Things Fall Apart,$7.96 ,Books > Literature & Fiction > Fiction > Classics,"Achebe, Chinua",8087888472,114,Lightning Source Inc,English,9.75 x 7.50 x 0.25 Inches,,
Cross Kill: An Alex Cross Story,$5.63 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime > Best seller ranking: > # > 5346 >  > in > Books > # > 262 >  > in > Books > ARCHIVE > # > 69 >  > in > Books > ARCHIVE > Books Misc",James Patterson,316317144,144,"BookShotsLittle, Brown and Company",English,,,4.6667
American Gods,$20.29 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Gaiman, Neil",2059889,541,HarperCollins,English,9.00 x 6.25 x 1.25 Inches,,
Skipping Christmas,$7.19 ,Books > Literature & Fiction > Fiction > General,"Grisham, John",422964,248,Random House,English,7.75 x 4.25 x 0.50 Inches,,1
Pretty Girls,$12.79 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",Karin Slaughter,2499557,432,William Morrow &amp; Co,English,8.00 x 5.25 x 1.25 Inches,,
Wyrd Sisters,$9.54 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Pratchett, Terry",2225738,360,HarperCollins,English,7.50 x 4.25 x 1.00 Inches,,
Dishonored,$6.41 ,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Christopher, Adam",1783293055,368,Random House,English,4.19 x 6.88 x 8.00 Inches,,
Shift,$9.48 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Hugh Howey,4839649,576,Houghton Mifflin HarcourtJohn Joseph Adams/Mariner Books,,203.20 x 5.31 x 1.42 Millimeters,,
CAMINO ISLAND: A NOVEL,$9.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GRISHAM, JOHN",1524797154,368,,,,,
Mercy Falls,$13.17 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",William Kent Krueger,9157806,368,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),,
The Big Sky: A Novel,$11.02 ,Books > Literature & Fiction > Fiction > Westerns,"Guthrie, A. B.",8154631,386,Houghton Mifflin Harcourt,English,5.50 x 8.00 x 1.00 Inches,,
Cat Sitter on a Hot Tin Roof,$19.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Clement, Blaize",1250095352,306,St. Martins Press-3pl,English,5.00 x 0.69 x 7.99 Inches,,
"NEIGHBOR, THE",$5.49 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 11269 >  > in > Books > # > 105 >  > in > Books > Mystery & Suspense > # > 9 >  > in > Books > Mystery & Suspense > General","GARDNER, LISA",3591901,496,Random House,English,7.00 x 4.25 x 1.25 Inches,,5
When the Grits Hit the Fan,$7.19 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Day, Maddie",7739299,343,Kensington Pub Corp,English,7.00 x 4.25 x 1.00 Inches,,
A Gathering of Secrets,$26.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Linda Castillo,1250121310,320,St. Martin's PressMinotaur Books,English,,,
WILLIAM SHAKESPEARE'S THE JEDI DOTH RETURN,$12.27 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General > Best seller ranking: > # > 10412 >  > in > Books > # > 978 >  > in > Books > Literature & Fiction > # > 63 >  > in > Books > Literature & Fiction > Science Fiction,"DOESCHER, IAN",159474713X,168,Random House Inc,English,5.75 x 8.25 x 0.50 Inches,,5
Children of the Fleet,$20.49 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,Orson Scott Card,765377047,304,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 1.14 Inches (US),,
A Game of Thrones,$22.71 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 1596 >  > in > Books > # > 104 >  > in > Books > Literature & Fiction > # > 14 >  > in > Books > Literature & Fiction > Fantasy,"Martin, George R. R.",3103540,694,Random House Inc,English,9.75 x 6.50 x 1.75 Inches,,5
Neverwinter,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Salvatore, R. A.",6960276,363,Wizards of the Coast,English,6.75 x 4.00 x 1.25 Inches,,
The Good Woman,$8.98 ,Books > Literature & Fiction > Fiction > Contemporary Women,Jane Porter,5253003,368,BerkleyPenguin Publishing Group,English,,,4.5556
ALL THE MISSING GIRLS: ANOVEL,$4.49 ,Books > Literature & Fiction > Fiction > Contemporary Women,Megan Miranda,1107978,400,Simon &amp; Schuster,,8.38 x 139.70 x 22.86 Inches (US),,
Acheron,$7.08 ,Books > Literature & Fiction > Fiction > Romance > Fantasy > Best seller ranking: > # > 8506 >  > in > Books > # > 162 >  > in > Books > Romance > # > 30 >  > in > Books > Romance > Paranormal,Sherrilyn Kenyon,2949416,816,St. Martin's PressSt. Martin's Paperbacks,English,171.96 x 4.16 x 1.28 Millimeters,,4.9167
I Know a Secret: A Rizzoli & Isles Novel,$13.97 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Tess Gerritsen,345543882,336,Ballantine Books,English,10.00 x 7.00 x 1.00 Inches,,5
BEST KEPT SECRETS,$7.99 ,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 3817 >  > in > Books > # > 292 >  > in > Books > Literature & Fiction > # > 39 >  > in > Books > Literature & Fiction > Mystery & Suspense,Sandra Brown,5550741,448,Grand Central Publishing,English,6.75 x 4.25 x 1.25 Inches (US),,
"Zombie, Illinois",$16.30 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Kenemore, Scott",1616088850,381,Two Rivers Distribution,English,8.25 x 5.50 x 1.25 Inches,,
SHARP OBJECTS,$9.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 1075 >  > in > Books > # > 67 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Mystery & Suspense","FLYNN, GILLIAN",7341557,272,Random House Inc,English,8.25 x 5.25 x 0.75 Inches,,4.6667
The Dark Tower I : The Gunslinger,$14.92 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Dark Fantasy > Best seller ranking: > # > 12950 >  > in > Books > # > 643 >  > in > Books > ARCHIVE > # > 62 >  > in > Books > ARCHIVE > Literature & Fiction,Stephen King,1143513,288,Scribner,,8.38 x 139.70 x 17.78 Inches (US),,5
HOPE TO DIE,$10.62 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 1660 >  > in > Books > # > 113 >  > in > Books > Literature & Fiction > # > 22 >  > in > Books > Literature & Fiction > General",James Patterson,5515838,416,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.25 Inches (US),,4
Bed of Roses,$7.58 ,Books > Literature & Fiction > Fiction > Romance > Contemporary,"Roberts, Nora",4133644,481,Christian Large Print,English,9.00 x 6.00 x 0.75 Inches,,
Test of the Twins,$7.81 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Weis, MargaretHickman, Tracy",6918067,330,Wizards of the Coast,English,7.00 x 4.25 x 1.25 Inches,,
The Cat Sitter and the Canary,$15.07 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",John ClementBlaize Clement,51170,304,St. Martin's PressMinotaur Books,English,213.61 x 5.76 x 26.29 Millimeters,,
Off the Grid,$8.49 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",C. J. Box,9185482,400,Penguin Publishing GroupG.P. Putnam's Sons,English,7.56 x 4.25 x 1.00 Inches (US),,
Death Is a Lonely Business,$11.34 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Bradbury, Ray",789652,240,HarperCollins,English,8.50 x 5.25 x 0.75 Inches,,
HEARTBREAK HOTEL: AN ALEX DELAWARE NOVEL,$9.40 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","KELLERMAN, JONATHAN",345541456,416,Random House,English,7.60 x 4.20 x 1.00 Inches (US),,
Great Expectations,$5.41 ,Books > Literature & Fiction > Fiction > Classics,Charles Dickens,1531180,528,SignetPenguin Publishing Group,English,,,
Shadow Prey,$8.99 ,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime > Best seller ranking: > # > 9716 >  > in > Books > # > 893 >  > in > Books > Literature & Fiction > # > 126 >  > in > Books > Literature & Fiction > Mystery & Suspense",John Sandford,5208846,480,Penguin Publishing GroupG.P. Putnam's Sons,English,7.50 x 4.13 x 1.00 Inches (US),,
RUSHING WATERS: A NOVEL,$8.76 ,Books > Literature & Fiction > Fiction > Contemporary Women,"STEEL, DANIELLE",042528543X,384,Random House,English,7.50 x 4.75 x 1.00 Inches,,
Doctor Who,$20.16 ,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Ness, PatrickSedgwick, MarcusScott, MichaelColfer, EoinReeve, Philip",141359714,592,Diamond Comic Distributors,English,6.50 x 4.75 x 3.50 Inches,,
Dreamfever,$7.19 ,Books > Literature & Fiction > Fiction > Romance > General > Best seller ranking: > # > 18684 >  > in > Books > # > 521 >  > in > Books > Romance > # > 97 >  > in > Books > Romance > General,"Moning, Karen Marie",244408,498,Random House,English,7.25 x 4.25 x 1.25 Inches,,4.6
The Sword of Shannara,$9.43 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Brooks, Terry",5314254,726,Random House,English,7.00 x 4.50 x 1.75 Inches,,5
Gameboard of the Gods : Age of X,$7.95 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Richelle Mead,045146799X,496,BerkleyPenguin Publishing Group,English,6.77 x 4.14 x 1.38 Inches (US),,
Foundation's Edge,$7.99 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Asimov, Isaac",329338X,480,Random House,English,6.75 x 4.00 x 1.00 Inches,,
An Echo of Things to Come,$19.89 ,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,James Islington,316274119,752,Orbit,English,9.50 x 6.50 x 2.25 Inches (US),,
